Loc	Version	Value	PrevValue	EVersion	EValue	EPrevValue	Path
tr	36.0	el kaldırma | havada el	�	38.0	hand | high 5 | high five | raised hand	hand | raised hand	//ldml/annotations/annotation[@cp="✋"]
tr	36.0	çarpım işareti	�	36.1	multiply	multiplication sign	//ldml/annotations/annotation[@cp="✖"][@type="tts"]
tr	36.0	÷ | bölü | bölü işareti | işaret | matematik	�	36.1	÷ | divide | division | math | sign	÷ | division | math | sign	//ldml/annotations/annotation[@cp="➗"]
tr	36.0	bölü işareti	�	36.1	divide	division sign	//ldml/annotations/annotation[@cp="➗"][@type="tts"]
tr	36.0	tam isabet	�	38.0	bullseye	direct hit	//ldml/annotations/annotation[@cp="🎯"][@type="tts"]
tr	36.0	adalet | adam | erkek | erkek hakim | terazi | yargıç	�	38.0	judge | justice | man | scales	justice | man | man judge | scales	//ldml/annotations/annotation[@cp="👨‍⚖"]
tr	36.0	erişilebilirlik | erkek | görme engelli | görme engelli bastonlu erkek	�	36.1	accessibility | blind | man | man with white cane	accessibility | blind | man | man with probing cane	//ldml/annotations/annotation[@cp="👨‍🦯"]
tr	36.0	görme engelli bastonlu erkek	�	36.1	man with white cane	man with probing cane	//ldml/annotations/annotation[@cp="👨‍🦯"][@type="tts"]
tr	36.0	adalet | bayan | kadın | kadın hakim | terazi	�	38.0	judge | justice | scales | woman	judge | scales | woman	//ldml/annotations/annotation[@cp="👩‍⚖"]
tr	36.0	erişilebilirlik | görme engelli | görme engelli bastonlu kadın | kadın	�	36.1	accessibility | blind | woman | woman with white cane	accessibility | blind | woman | woman with probing cane	//ldml/annotations/annotation[@cp="👩‍🦯"]
tr	36.0	görme engelli bastonlu kadın	�	36.1	woman with white cane	woman with probing cane	//ldml/annotations/annotation[@cp="👩‍🦯"][@type="tts"]
tr	36.0	duvak | duvaklı gelin | evlilik | kişiler	�	36.1	bride | person | person with veil | veil | wedding	bride | bride with veil | veil | wedding	//ldml/annotations/annotation[@cp="👰"]
tr	36.0	duvaklı gelin	�	36.1	person with veil	bride with veil	//ldml/annotations/annotation[@cp="👰"][@type="tts"]
