Loc	Version	Value	PrevValue	EVersion	EValue	EPrevValue	Path
gu	36.0	ઉઠાવેલો હાથ | હાથ	�	38.0	hand | high 5 | high five | raised hand	hand | raised hand	//ldml/annotations/annotation[@cp="✋"]
gu	36.0	! | ઉદ્ગાર ચિહ્ન | ચિહ્ન | વિરામચિહ્ન	�	38.0	! | exclamation | mark | punctuation | red exclamation mark	! | exclamation | mark | punctuation	//ldml/annotations/annotation[@cp="❗"]
gu	36.0	ઉદ્ગાર ચિહ્ન	�	38.0	red exclamation mark	exclamation mark	//ldml/annotations/annotation[@cp="❗"][@type="tts"]
gu	36.0	સીધી જ હિટ	�	38.0	bullseye	direct hit	//ldml/annotations/annotation[@cp="🎯"][@type="tts"]
gu	36.0	તરાજુ | ન્યાય | ન્યાયાધીશ | પુરુષ	�	38.0	judge | justice | man | scales	justice | man | man judge | scales	//ldml/annotations/annotation[@cp="👨‍⚖"]
gu	36.0	ઍક્સેસિબિલિટી | તપાસ માટેની લાકડી સાથે પુરુષ | દિવ્યાંગ | પુરુષ	�	36.1	accessibility | blind | man | man with white cane	accessibility | blind | man | man with probing cane	//ldml/annotations/annotation[@cp="👨‍🦯"]
gu	36.0	તપાસ માટેની લાકડી સાથે પુરુષ	�	36.1	man with white cane	man with probing cane	//ldml/annotations/annotation[@cp="👨‍🦯"][@type="tts"]
gu	36.0	તરાજુ | ન્યાય | સ્ત્રી | સ્ત્રી ન્યાયાધીશ	�	38.0	judge | justice | scales | woman	judge | scales | woman	//ldml/annotations/annotation[@cp="👩‍⚖"]
gu	36.0	ઍક્સેસિબિલિટી | તપાસ માટેની લાકડી સાથે સ્ત્રી | દિવ્યાંગ | સ્ત્રી	�	36.1	accessibility | blind | woman | woman with white cane	accessibility | blind | woman | woman with probing cane	//ldml/annotations/annotation[@cp="👩‍🦯"]
gu	36.0	તપાસ માટેની લાકડી સાથે સ્ત્રી	�	36.1	woman with white cane	woman with probing cane	//ldml/annotations/annotation[@cp="👩‍🦯"][@type="tts"]
